unidade,g,h,ociosas
0817612,Maternal I,Parcial,19
0817614,Maternal I,Parcial,14
0817616,Maternal I,Parcial,10
0817617,Maternal I,Parcial,8
0817618,Maternal I,Parcial,20
0817619,Maternal I,Parcial,8
0817801,Maternal I,Parcial,3
0817803,Maternal I,Parcial,0
0817806,Maternal I,Parcial,4
0817807,Maternal I,Parcial,2
0817808,Maternal I,Parcial,3
0817814,Maternal I,Parcial,4
0817815,Maternal I,Parcial,0
0833601,Maternal I,Parcial,5
0833602,Maternal I,Parcial,22
0833802,Maternal I,Parcial,20
0833806,Maternal I,Parcial,4
0918602,Maternal I,Parcial,5
0918603,Maternal I,Parcial,6
0918606,Maternal I,Parcial,4
0918607,Maternal I,Parcial,0
0918608,Maternal I,Parcial,50
0918614,Maternal I,Parcial,34
0918617,Maternal I,Parcial,16
0918618,Maternal I,Parcial,21
0918620,Maternal I,Parcial,31
0918801,Maternal I,Parcial,12
0918802,Maternal I,Parcial,9
0918811,Maternal I,Parcial,22
0918815,Maternal I,Parcial,19
0918817,Maternal I,Parcial,8
0918818,Maternal I,Parcial,1
0918821,Maternal I,Parcial,10
0918822,Maternal I,Parcial,11
0918824,Maternal I,Parcial,6
0918825,Maternal I,Parcial,26
0918828,Maternal I,Parcial,7
0918830,Maternal I,Parcial,3
0918838,Maternal I,Parcial,2
1019606,Maternal I,Parcial,2
1019613,Maternal I,Parcial,0
1026601,Maternal I,Parcial,16
1026604,Maternal I,Parcial,2
1026811,Maternal I,Parcial,3
0101602,Maternal II,Integral,24
0101603,Maternal II,Integral,2
0101607,Maternal II,Integral,9
0101802,Maternal II,Integral,17
0101803,Maternal II,Integral,18
0102602,Maternal II,Integral,8
0102604,Maternal II,Integral,5
0102605,Maternal II,Integral,8
0102802,Maternal II,Integral,37
0102803,Maternal II,Integral,15
0103601,Maternal II,Integral,8
0103602,Maternal II,Integral,5
0103604,Maternal II,Integral,0
0103605,Maternal II,Integral,5
0103606,Maternal II,Integral,1
0103801,Maternal II,Integral,0
0103804,Maternal II,Integral,2
0103805,Maternal II,Integral,9
0103807,Maternal II,Integral,5
0107601,Maternal II,Integral,10
0107602,Maternal II,Integral,6
0107603,Maternal II,Integral,5
0107604,Maternal II,Integral,2
0107605,Maternal II,Integral,1
0107607,Maternal II,Integral,7
0107608,Maternal II,Integral,0
0107610,Maternal II,Integral,2
