unidade,bairro_unid
0515604,CASCADURA
0515605,ROCHA MIRANDA
0515606,CAMPINHO
0515607,MARECHAL HERMES
0515608,VAZ LOBO
0515610,HONORIO GURGEL
0515611,MADUREIRA
0515612,MADUREIRA
0515613,CAVALCANTE
05001,ROCHA MIRANDA
05003,QUINTINO BOCAIUVA
05004,VISTA ALEGRE
05005,CAVALCANTI
05006,CAMPINHO
05007,MARECHAL HERMES
05008,VILA COSMOS
05010,IRAJA
05012,VILA DA PENHA
05013,BENTO RIBEIRO
05014,MARECHAL HERMES
05015,ROCHA MIRANDA
05016,ROCHA MIRANDA
05018,COLEGIO
05019,CAVALCANTI
05020,MADUREIRA
0514801,IRAJA
0514802,IRAJA
0514803,COLEGIO
0514804,VILA KOSMOS
0515801,HONORIO GURGEL
0515802,ROCHA MIRANDA
0515803,ROCHA MIRANDA
0515804,MARECHAL HERMES
0515805,QUINTINO BOCAIUVA
0515807,MADUREIRA
0515808,MADUREIRA
0515809,MARECHAL HERMES
0515810,CASCADURA
0514001,VILA KOSMOS
0514002,VILA KOSMOS
0514003,VILA KOSMOS
0514004,VICENTE DE CARVALHO
0514005,VICENTE DE CARVALHO
0514006,VILA DA PENHA
0514007,VILA DA PENHA
0514008,VISTA ALEGRE
0514009,IRAJA
0514010,IRAJA
0514011,IRAJA
0514012,IRAJA
0514013,IRAJA
0514015,IRAJA
0514016,IRAJA
0514017,IRAJA
0514018,IRAJA
0514019,IRAJA
0514020,IRAJA
0514021,IRAJA
0514022,IRAJA
0514023,IRAJA
0514024,IRAJA
0514025,IRAJA
0514026,IRAJA
0514027,IRAJA
0514028,IRAJA
0514029,IRAJA
0514030,IRAJA
0514031,IRAJA
0514032,COLEGIO
0514033,COLEGIO
0514035,COLEGIO
0515001,ROCHA MIRANDA
0515002,ROCHA MIRANDA
0515003,ROCHA MIRANDA
0515004,COLEGIO
0515005,ROCHA MIRANDA
0515007,ROCHA MIRANDA
0515009,ROCHA MIRANDA
0515010,ROCHA MIRANDA
0515011,ROCHA MIRANDA
0515012,HONORIO GURGEL
0515013,HONORIO GURGEL
0515014,HONORIO GURGEL
0515015,OSVALDO CRUZ
0515016,OSVALDO CRUZ
0515017,OSVALDO CRUZ
0515018,OSVALDO CRUZ
0515019,OSVALDO CRUZ
0515020,OSVALDO CRUZ
0515021,OSVALDO CRUZ
0515022,OSVALDO CRUZ
0515023,BENTO RIBEIRO
