cep,ordem,esc_codigo,distancia_km,mesma_microarea
20031007,1,103601,0.130,true
20031007,2,103502,0.239,true
20031007,3,103607,0.301,true
20031007,4,102601,0.331,true
20031007,5,103806,0.405,true
20031007,6,103805,0.521,true
20031007,7,103605,0.522,false
20031007,8,1025041,0.546,true
20031007,9,102602,0.690,true
20031007,10,103606,0.733,false
20031010,1,103601,0.130,true
20031010,2,103502,0.239,true
20031010,3,103607,0.301,true
20031010,4,102601,0.331,true
20031010,5,103806,0.405,true
20031010,6,103805,0.521,true
20031010,7,103605,0.522,false
20031010,8,1025041,0.546,true
20031010,9,102602,0.690,true
20031010,10,103606,0.733,false
20031040,1,103601,0.130,true
20031040,2,103502,0.239,true
20031040,3,103607,0.301,true
20031040,4,102601,0.331,true
20031040,5,103806,0.405,true
20031040,6,103805,0.521,true
20031040,7,103605,0.522,false
20031040,8,1025041,0.546,true
20031040,9,102602,0.690,true
20031040,10,103606,0.733,false
20031050,1,103601,0.130,true
20031050,2,103502,0.239,true
20031050,3,103607,0.301,true
20031050,4,102601,0.331,true
20031050,5,103806,0.405,true
20031050,6,103805,0.521,true
20031050,7,103605,0.522,false
20031050,8,1025041,0.546,true
20031050,9,102602,0.690,true
20031050,10,103606,0.733,false
20031120,1,103601,0.130,true
20031120,2,103502,0.239,true
20031120,3,103607,0.301,true
20031120,4,102601,0.331,true
20031120,5,103806,0.405,true
20031120,6,103805,0.521,true
20031120,7,103605,0.522,false
20031120,8,1025041,0.546,true
20031120,9,102602,0.690,true
20031120,10,103606,0.733,false
20031130,1,103601,0.130,true
20031130,2,103502,0.239,true
20031130,3,103607,0.301,true
20031130,4,102601,0.331,true
20031130,5,103806,0.405,true
20031130,6,103805,0.521,true
20031130,7,103605,0.522,false
20031130,8,1025041,0.546,true
20031130,9,102602,0.690,true
20031130,10,103606,0.733,false
20031144,1,103601,0.130,true
20031144,2,103502,0.239,true
20031144,3,103607,0.301,true
20031144,4,102601,0.331,true
20031144,5,103806,0.405,true
20031144,6,103805,0.521,true
20031144,7,103605,0.522,false
20031144,8,1025041,0.546,true
20031144,9,102602,0.690,true
20031144,10,103606,0.733,false
20031180,1,103601,0.130,true
20031180,2,103502,0.239,true
20031180,3,103607,0.301,true
20031180,4,102601,0.331,true
20031180,5,103806,0.405,true
20031180,6,103805,0.521,true
20031180,7,103605,0.522,false
20031180,8,1025041,0.546,true
20031180,9,102602,0.690,true
20031180,10,103606,0.733,false
20031911,1,103601,0.130,true
20031911,2,103502,0.239,true
20031911,3,103607,0.301,true
20031911,4,102601,0.331,true
20031911,5,103806,0.405,true
20031911,6,103805,0.521,true
20031911,7,103605,0.522,false
20031911,8,1025041,0.546,true
20031911,9,102602,0.690,true
20031911,10,103606,0.733,false
20032021,1,103601,0.130,true
20032021,2,103502,0.239,true
20032021,3,103607,0.301,true
20032021,4,102601,0.331,true
20032021,5,103806,0.405,true
20032021,6,103805,0.521,true
20032021,7,103605,0.522,false
20032021,8,1025041,0.546,true
20032021,9,102602,0.690,true
20032021,10,103606,0.733,false
20035144,1,103601,0.130,true
20035144,2,103502,0.239,true
20035144,3,103607,0.301,true
20035144,4,102601,0.331,true
20035144,5,103806,0.405,true
20035144,6,103805,0.521,true
20035144,7,103605,0.522,false
20035144,8,1025041,0.546,true
20035144,9,102602,0.690,true
20035144,10,103606,0.733,false
20040003,1,103601,0.130,true
20040003,2,103502,0.239,true
20040003,3,103607,0.301,true
20040003,4,102601,0.331,true
20040003,5,103806,0.405,true
20040003,6,103805,0.521,true
20040003,7,103605,0.522,false
20040003,8,1025041,0.546,true
20040003,9,102602,0.690,true
20040003,10,103606,0.733,false
20040004,1,103601,0.130,true
20040004,2,103502,0.239,true
20040004,3,103607,0.301,true
20040004,4,102601,0.331,true
20040004,5,103806,0.405,true
20040004,6,103805,0.521,true
20040004,7,103605,0.522,false
20040004,8,1025041,0.546,true
20040004,9,102602,0.690,true
20040004,10,103606,0.733,false
20040007,1,103601,0.130,true
20040007,2,103502,0.239,true
20040007,3,103607,0.301,true
20040007,4,102601,0.331,true
20040007,5,103806,0.405,true
20040007,6,103805,0.521,true
20040007,7,103605,0.522,false
20040007,8,1025041,0.546,true
20040007,9,102602,0.690,true
20040007,10,103606,0.733,false
20040040,1,103601,0.130,true
20040040,2,103502,0.239,true
20040040,3,103607,0.301,true
20040040,4,102601,0.331,true
20040040,5,103806,0.405,true
20040040,6,103805,0.521,true
20040040,7,103605,0.522,false
20040040,8,1025041,0.546,true
20040040,9,102602,0.690,true
20040040,10,103606,0.733,false
20041002,1,103601,0.130,true
20041002,2,103502,0.239,true
20041002,3,103607,0.301,true
20041002,4,102601,0.331,true
20041002,5,103806,0.405,true
20041002,6,103805,0.521,true
20041002,7,103605,0.522,false
20041002,8,1025041,0.546,true
20041002,9,102602,0.690,true
20041002,10,103606,0.733,false
20041004,1,103601,0.130,true
20041004,2,103502,0.239,true
20041004,3,103607,0.301,true
20041004,4,102601,0.331,true
